,Code,ISU_CD,Name,Market,Dept,Close,ChangeCode,Changes,ChagesRatio,Open,High,Low,Volume,Amount,Marcap,Stocks,MarketId
76,361610,KR7361610009,SK아이이테크놀로지,KOSPI,,70900,1,900,1.29,69900,71000,69600,44883,3151977900,5054999272800,71297592,STK
77,302440,KR7302440003,SK바이오사이언스,KOSPI,,64700,2,-100,-0.15,64600,65000,64200,12142,783275300,4970755425000,76827750,STK
78,241560,KR7241560002,두산밥캣,KOSPI,,48000,2,-400,-0.83,48400,48400,47600,47782,2287007500,4811959968000,100249166,STK
79,004020,KR7004020004,현대제철,KOSPI,,35850,2,-550,-1.51,36350,36650,35850,51925,1877063950,4784031392250,133445785,STK
80,267260,KR7267260008,HD현대일렉트릭,KOSPI,,131400,1,7800,6.31,127000,133500,125800,261445,34041134300,4736593539000,36047135,STK
81,028050,KR7028050003,삼성엔지니어링,KOSPI,,24050,2,-200,-0.82,24250,24300,23850,191187,4602752050,4713800000000,196000000,STK
82,180640,KR7180640005,한진칼,KOSPI,,70200,1,600,0.86,70500,70500,68900,26089,1814735400,4686711985800,66762279,STK
83,196170,KR7196170005,알테오젠,KOSDAQ GLOBAL,기술성장기업부,88400,2,-1000,-1.12,90000,90500,87500,208912,18518165900,4686245595200,53011828,KSQ
84,078930,KR7078930005,GS,KOSPI,,50300,2,-1200,-2.33,51800,51900,50100,28158,1433614100,4673643513400,92915378,STK
85,403870,KR7403870009,HPSP,KOSDAQ,벤처기업부,56300,1,200,0.36,56300,57600,55500,918203,51955619600,4668785258200,82926914,KSQ
86,036570,KR7036570000,엔씨소프트,KOSPI,,212000,2,-1000,-0.47,213000,213000,210000,11068,2336009000,4654252664000,21954022,STK
87,011070,KR7011070000,LG이노텍,KOSPI,,196600,1,1200,0.61,196100,197200,195400,32764,6438138700,4652953236200,23667107,STK
88,097950,KR7097950000,CJ제일제당,KOSPI,,307000,1,3000,0.99,304500,307500,303500,6423,1964673000,4621635102000,15054186,STK
89,032640,KR7032640005,LG유플러스,KOSPI,,10290,2,-90,-0.87,10360,10370,10270,166943,1722582880,4492730904690,436611361,STK
90,011780,KR7011780004,금호석유,KOSPI,,156800,2,-4700,-2.91,161000,162000,156000,56812,8996042900,4476276067200,28547679,STK
